type_instance,instance,m,n,ov_mincost,st_mincost,ov_bestfit,st_bestfit,ov_mt,st_mt,ov_mincost_relocate,st_mincost_relocate,ov_mincost_swap,st_mincost_swap,ov_bestfit_relocate,st_bestfit_relocate,ov_bestfit_swap,st_bestfit_swap,ov_mt_relocate,st_mt_relocate,ov_mt_swap,st_mt_swap,ov_mincost_relocate_swap,st_mincost_relocate_swap,ov_mincost_swap_relocate,st_mincost_swap_relocate,ov_bestfit_relocate_swap,st_bestfit_relocate_swap,ov_bestfit_swap_relocate,st_bestfit_swap_relocate,ov_mt_relocate_swap,st_mt_relocate_swap,ov_mt_swap_relocate,st_mt_swap_relocate
a,a05100,5,100,1709,3.58e-05,3061,9.9261e-05,1698,6.366e-05,1709,0.00011505,1700,0.00646186,1703,0.00707556,1807,0.0744775,1698,0.00013845,1698,0.00213961,1700,0.00653127,1700,0.00632505,1703,0.00878255,1703,0.138359,1698,0.00221664,1698,0.00242886
a,a05200,5,200,3259,6.321e-05,5755,0.000190261,3240,0.000115071,3259,0.000213211,3238,0.040868,3241,0.0233369,3266,0.712348,3240,0.000263451,3240,0.00833438,3238,0.0333323,3238,0.0408615,3235,0.0557657,3238,0.809473,3240,0.00841246,3240,0.00830265
a,a10100,10,100,1390,4.561e-05,3104,0.000202381,1364,7.7321e-05,1390,0.00018523,1364,0.0122553,1362,0.0141429,1506,0.138115,1364,0.000216262,1364,0.00249604,1364,0.0135078,1364,0.0138495,1361,0.0191799,1360,0.249004,1364,0.00305074,1364,0.00259398
a,a10200,10,200,2670,0.000128821,6252,0.000539923,2626,0.000148261,2670,0.000406423,2637,0.0932727,2634,0.0494948,2745,1.04601,2626,0.000424943,2624,0.0281976,2633,0.0588275,2633,0.121879,2628,0.0788247,2631,1.44568,2624,0.0288747,2624,0.0302841
a,a20100,20,100,1170,6.2131e-05,2720,0.000385722,1166,0.000119491,1170,0.000468983,1168,0.00834842,1165,0.0308171,1363,0.181222,1166,0.000419653,1166,0.00376275,1167,0.0103585,1167,0.0126031,1162,0.0402171,1160,0.356058,1166,0.00312806,1166,0.00311885
a,a20200,20,200,2371,0.000118771,5843,0.000779335,2350,0.000203921,2371,0.000902066,2353,0.0511396,2351,0.101786,2555,1.34574,2350,0.000736674,2348,0.030973,2353,0.0530841,2353,0.0500342,2350,0.121572,2347,2.16275,2348,0.0315045,2348,0.0314534
b,b05100,5,100,5323,4.103e-05,6659,9.946e-05,4932,6.7211e-05,5323,0.00012606,5027,0.0478345,6659,0.00017563,5569,0.0867026,4932,0.000143251,4781,0.0383059,3539,0.0465101,4129,0.0644219,2292,0.0930876,4122,0.113694,3659,0.0401351,4254,0.0478141
b,b05200,5,200,8839,7.3101e-05,10049,0.000193511,8869,0.000122581,8839,0.000217822,8271,0.398845,10049,0.000336291,7416,0.732622,8869,0.000274921,8408,0.334719,6580,0.456632,7669,0.429928,3737,0.606873,7416,0.727977,6928,0.302321,8279,0.348593
b,b10100,10,100,2142,5.879e-05,4605,0.000239062,2316,0.000122481,2142,0.000226101,1985,0.0389499,4605,0.000378753,3005,0.146818,2316,0.000253412,2202,0.0327603,1460,0.034106,1444,0.08301,1437,0.0518511,1587,0.191861,1482,0.0395011,1440,0.0820868
b,b10200,10,200,8714,0.000116411,10308,0.000512033,7896,0.000201361,8714,0.000381153,8252,0.484512,10308,0.000781155,7348,1.15366,7896,0.000459872,7447,0.467454,4366,0.490448,6699,0.633456,2951,0.560625,6170,1.24775,4295,0.478496,5862,0.61951
b,b20100,20,100,1678,8.9151e-05,4586,0.000378132,1338,0.000154741,1678,0.000343943,1526,0.0434169,4586,0.000625173,2966,0.214667,1338,0.000407653,1232,0.0451277,1246,0.052014,1249,0.0731158,1198,0.0797558,1215,0.290551,1213,0.0407156,1225,0.0500363
b,b20200,20,200,3652,0.000154181,8868,0.000767014,3744,0.000247991,3652,0.000623024,3355,0.394823,8868,0.00124699,5650,1.48765,3744,0.000743304,3492,0.267977,2406,0.330053,2426,0.602981,2391,0.308279,2390,2.09471,2410,0.243537,2402,0.563352
e,e05100,5,100,145386,4.7181e-05,57393,9.938e-05,140598,7.6781e-05,145386,0.000123592,143744,0.0467563,55382,0.000476512,55329,0.032751,140598,0.000157301,137491,0.0626932,137594,0.0442214,143744,0.0463017,52811,0.0280687,55329,0.0330831,135462,0.052245,137491,0.0629401
e,e05200,5,200,340515,8.831e-05,148402,0.000188381,329085,0.000154211,340515,0.000236221,340101,0.292886,148402,0.000332642,142917,0.688031,329085,0.000301362,327266,0.375203,326039,0.286119,340101,0.285957,127510,0.589952,142917,0.684268,315782,0.3814,327266,0.366771
e,e10100,10,100,138179,8.528e-05,96490,0.000189551,151763,0.00013343,138179,0.000225391,137093,0.0500433,96490,0.000330102,95318,0.0884663,151763,0.000277551,149235,0.0605915,134075,0.0499922,137093,0.0506793,93807,0.0940518,95318,0.0895081,137356,0.0581682,149235,0.0608106
e,e10200,10,200,364536,0.000173471,172070,0.000396562,379819,0.000266912,364536,0.000435632,360607,0.28854,172070,0.000685574,166296,1.07749,379819,0.000538794,376105,0.285895,344245,0.255681,360607,0.284155,151836,0.995486,166296,1.0608,354006,0.25307,376105,0.284919
e,e10400,10,400,799534,0.000367002,341857,0.000777314,816825,0.000510612,799534,0.000948405,794269,2.14688,341857,0.00136007,331934,8.58513,816825,0.00103213,811669,2.03572,752988,1.98672,794269,2.15284,308040,8.45083,331934,8.55449,777967,1.77398,811669,1.88827
e,e15900,15,900,1.90454e+06,0.00105933,672571,0.00252334,1.96254e+06,0.00150183,1.90454e+06,0.00279243,1.89427e+06,24.8867,672571,0.00419842,642728,109.126,1.96254e+06,0.00325867,1.95158e+06,21.6034,1.76567e+06,21.4221,1.89427e+06,24.7672,566909,102.654,642728,109.385,1.82082e+06,19.2147,1.95158e+06,19.9996
e,e20100,20,100,93584,0.000153241,72852,0.000360022,101295,0.000195201,93584,0.000411802,89980,0.100527,72852,0.000612134,72727,0.0738251,101295,0.000449912,100332,0.0652911,81025,0.0702789,87304,0.103251,69918,0.0806643,69918,0.0748414,96369,0.0682945,100332,0.0655815
e,e201600,20,1600,3.51829e+06,0.0026151,1.21026e+06,0.00584707,3.6583e+06,0.00338484,3.51829e+06,0.0065021,3.50706e+06,120.906,1.21026e+06,0.00958234,1.16865e+06,686.884,3.6583e+06,0.00739598,3.64836e+06,77.4777,3.32573e+06,102.888,3.50706e+06,116.098,1.06798e+06,647.991,1.16865e+06,680.107,3.50127e+06,69.5559,3.64836e+06,78.8022
e,e20200,20,200,365348,0.000346352,205884,0.000743474,337184,0.000420792,365348,0.000832755,362508,0.31556,205884,0.00123149,199830,1.0207,337184,0.000910035,332142,0.413891,347718,0.295142,362508,0.316458,183254,1.01853,199830,1.02737,315315,0.399299,332142,0.454182
e,e20400,20,400,810368,0.000658274,360130,0.00150014,803807,0.000850965,810368,0.00165105,806026,2.25428,360130,0.00248832,344788,8.60407,803807,0.00184901,794062,2.44277,751076,2.0341,806026,2.32456,311352,8.14206,344788,8.61046,745399,2.06287,790043,2.53065
e,e30900,30,900,1.95149e+06,0.00211341,818003,0.00488891,1.99646e+06,0.00276988,1.95149e+06,0.00543004,1.9408e+06,20.7529,818003,0.00813779,793016,110.34,1.99646e+06,0.00608595,1.98517e+06,17.2579,1.81858e+06,18.7598,1.9408e+06,20.9132,724895,110.345,793016,110.644,1.89485e+06,16.0071,1.98517e+06,16.0411
e,e401600,40,1600,3.60089e+06,0.00502786,1.51473e+06,0.0113951,3.72606e+06,0.00637205,3.60089e+06,0.0126091,3.57732e+06,108.86,1.51473e+06,0.0188384,1.47253e+06,666.598,3.72606e+06,0.0138893,3.70868e+06,73.6666,3.34814e+06,98.9035,3.57732e+06,108.904,1.35958e+06,649.511,1.47253e+06,659.547,3.5553e+06,67.6196,3.70667e+06,74.313
e,e40400,40,400,749569,0.00126249,444822,0.00316241,753423,0.00159677,749569,0.00333815,742080,2.92882,444822,0.00505807,436717,8.33558,753423,0.00344188,749904,2.74221,690525,3.10656,734084,3.04809,404340,8.47364,434710,8.25861,723002,2.82205,749904,2.71375
e,e60900,60,900,1.88639e+06,0.0043226,929226,0.0102268,1.92504e+06,0.00626253,1.88639e+06,0.0106945,1.87185e+06,27.4385,929226,0.0164048,902695,112.467,1.92504e+06,0.012316,1.91399e+06,21.8018,1.74011e+06,24.5297,1.86984e+06,24.4441,820934,114.12,902695,111.901,1.83061e+06,20.634,1.91105e+06,20.4789
e,e801600,80,1600,3.56543e+06,0.0102733,1.58902e+06,0.0241176,3.65053e+06,0.0123502,3.56543e+06,0.0247985,3.53697e+06,115.616,1.58902e+06,0.0386273,1.53972e+06,653.314,3.65053e+06,0.0271206,3.63891e+06,88.5029,3.31402e+06,105.5,3.53228e+06,107.972,1.4089e+06,654.542,1.53972e+06,651.38,3.50631e+06,83.8109,3.6364e+06,93.7482
