type_instance,instance,m,n,ov_mincost,st_mincost,ov_bestfit,st_bestfit,ov_mt,st_mt,ov_mincost_relocate,st_mincost_relocate,ov_mincost_swap,st_mincost_swap,ov_bestfit_relocate,st_bestfit_relocate,ov_bestfit_swap,st_bestfit_swap,ov_mt_relocate,st_mt_relocate,ov_mt_swap,st_mt_swap,ov_mincost_relocate_swap,st_mincost_relocate_swap,ov_mincost_swap_relocate,st_mincost_swap_relocate,ov_bestfit_relocate_swap,st_bestfit_relocate_swap,ov_bestfit_swap_relocate,st_bestfit_swap_relocate,ov_mt_relocate_swap,st_mt_relocate_swap,ov_mt_swap_relocate,st_mt_swap_relocate
e,e15900,15,900,1.90454e+06,0.00116881,672571,0.00201671,1.96254e+06,0.00124378,1.90454e+06,0.00268852,1.89427e+06,18.724,672571,0.00339915,642728,93.913,1.96254e+06,0.00272927,1.95158e+06,17.0684,1.76567e+06,18.59,1.89427e+06,19.5202,566909,88.2051,642728,100.043,1.82082e+06,16.1841,1.95158e+06,18.1784
e,e05100,5,100,145386,4.2527e-05,57393,7.8545e-05,140598,6.3237e-05,145386,0.000106382,143744,0.0464313,55382,0.000388035,55329,0.0284398,140598,0.000127245,137491,0.0555486,137594,0.0452573,143744,0.0479151,52811,0.0239112,55329,0.0283219,135462,0.044302,137491,0.0536147
e,e401600,40,1600,3.60089e+06,0.00431704,1.51473e+06,0.0111792,3.72606e+06,0.0072,3.60089e+06,0.0115765,3.57732e+06,102.703,1.51473e+06,0.0203794,1.47253e+06,642.88,3.72606e+06,0.0141557,3.70868e+06,71.0525,3.34814e+06,101.682,3.57732e+06,109.568,1.35958e+06,618.742,1.47253e+06,628.656,3.5553e+06,64.6365,3.70667e+06,76.702
e,e10200,10,200,364536,0.000134457,172070,0.000322361,379819,0.000202036,364536,0.000371828,360607,0.272319,172070,0.000530753,166296,1.02017,379819,0.00044485,376105,0.264155,344245,0.229255,360607,0.275938,151836,0.915007,166296,0.988513,354006,0.229366,376105,0.255219
e,e801600,80,1600,3.56543e+06,0.00916843,1.58902e+06,0.0278473,3.65053e+06,0.0120133,3.56543e+06,0.0292406,3.53697e+06,115.522,1.58902e+06,0.0477904,1.53972e+06,641.253,3.65053e+06,0.0269395,3.63891e+06,82.6103,3.31402e+06,104.771,3.53228e+06,113.814,1.4089e+06,657.365,1.53972e+06,657.657,3.50631e+06,88.5348,3.6364e+06,84.4428
e,e20400,20,400,810368,0.000544225,360130,0.00125888,803807,0.00069113,810368,0.00138945,806026,2.17687,360130,0.00206282,344788,8.12547,803807,0.00155577,794062,2.30914,751076,1.90466,806026,2.21764,311352,7.95894,344788,8.17469,745399,1.93698,790043,2.40468
e,e10100,10,100,138179,7.8165e-05,96490,0.000153741,151763,9.6917e-05,138179,0.000194305,137093,0.0513968,96490,0.000284873,95318,0.0820403,151763,0.000217018,149235,0.0555119,134075,0.0598198,137093,0.0642215,93807,0.087031,95318,0.0954564,137356,0.0575123,149235,0.0598308
e,e20100,20,100,93584,0.000130796,72852,0.000302088,101295,0.000163473,93584,0.000349636,89980,0.103543,72852,0.000505724,72727,0.0688748,101295,0.000358079,100332,0.0650977,81025,0.0881487,87304,0.111119,69918,0.0786925,69918,0.0799038,96369,0.0617717,100332,0.0612251
e,e05200,5,200,340515,7.4477e-05,148402,0.000172495,329085,0.000120548,340515,0.00021895,340101,0.281642,148402,0.00031021,142917,0.667694,329085,0.000304313,327266,0.373896,326039,0.29166,340101,0.289669,127510,0.555709,142917,0.690289,315782,0.359679,327266,0.355079
e,e60900,60,900,1.88639e+06,0.00383492,929226,0.010981,1.92504e+06,0.00485662,1.88639e+06,0.00934583,1.87185e+06,24.5747,929226,0.019608,902695,112.347,1.92504e+06,0.0103669,1.91399e+06,21.3274,1.74011e+06,23.6567,1.86984e+06,25.4482,820934,115.307,902695,114.383,1.83061e+06,20.7765,1.91105e+06,23.9088
