type_instance,instance,m,n,ov_mincost,st_mincost,ov_bestfit,st_bestfit,ov_mt,st_mt,ov_mincost_relocate,st_mincost_relocate,ov_mincost_swap,st_mincost_swap,ov_bestfit_relocate,st_bestfit_relocate,ov_bestfit_swap,st_bestfit_swap,ov_mt_relocate,st_mt_relocate,ov_mt_swap,st_mt_swap,ov_mincost_relocate_swap,st_mincost_relocate_swap,ov_mincost_swap_relocate,st_mincost_swap_relocate,ov_bestfit_relocate_swap,st_bestfit_relocate_swap,ov_bestfit_swap_relocate,st_bestfit_swap_relocate,ov_mt_relocate_swap,st_mt_relocate_swap,ov_mt_swap_relocate,st_mt_swap_relocate
e,e15900,15,900,1.90454e+06,8.22775,672571,8.62894,1.96254e+06,1.19308,1.90454e+06,8.22775,1.89886e+06,8.22775,672571,8.62894,647910,8.62894,1.96254e+06,1.19308,1.95898e+06,1.19308,1.90454e+06,8.22775,1.90454e+06,8.22775,672571,8.62894,672571,8.62894,1.96254e+06,1.19308,1.96254e+06,1.19308
e,e05100,5,100,145386,0.835336,57393,1.81568,140598,0.069138,145386,0.835336,145386,0.835336,57385,1.81568,55860,1.81568,140598,0.069138,140586,0.069138,145386,0.835336,145386,0.835336,57393,1.81568,57393,1.81568,140598,0.069138,140598,0.069138
e,e401600,40,1600,3.60089e+06,35.0589,1.51473e+06,31.2207,3.72606e+06,6.2903,3.60089e+06,35.0589,3.58462e+06,35.0589,1.51473e+06,31.2207,1.47209e+06,31.2207,3.72606e+06,6.2903,3.71436e+06,6.2903,3.60089e+06,35.0589,3.60089e+06,35.0589,1.51473e+06,31.2207,1.51473e+06,31.2207,3.72606e+06,6.2903,3.72606e+06,6.2903
e,e10200,10,200,364536,4.81097,172070,4.75245,379819,0.214335,364536,4.81097,362801,4.81097,172070,4.75245,170373,4.75245,379819,0.214335,379817,0.214335,364536,4.81097,364536,4.81097,172070,4.75245,172070,4.75245,379819,0.214335,379819,0.214335
e,e801600,80,1600,3.56543e+06,68.4221,1.58902e+06,58.5428,3.65053e+06,21.1296,3.56543e+06,68.4221,3.54557e+06,68.4221,1.58902e+06,58.5428,1.5592e+06,58.5428,3.65053e+06,21.1296,3.64469e+06,21.1296,3.56543e+06,68.4221,3.56543e+06,68.4221,1.58902e+06,58.5428,1.58902e+06,58.5428,3.65053e+06,21.1296,3.65053e+06,21.1296
e,e20400,20,400,810368,6.57736,360130,3.58372,803807,0.778058,810368,6.57736,810345,6.57736,360130,3.58372,352992,3.58372,803807,0.778058,803105,0.778058,810368,6.57736,810368,6.57736,360130,3.58372,360130,3.58372,803807,0.778058,803807,0.778058
e,e10100,10,100,138179,4.33884,96490,0.572934,151763,0.117826,138179,4.33884,138177,4.33884,96490,0.572934,96457,0.572934,151763,0.117826,151758,0.117826,138179,4.33884,138179,4.33884,96490,0.572934,96490,0.572934,151763,0.117826,151763,0.117826
e,e20100,20,100,93584,0.612624,72852,0.838583,101295,0.187145,93584,0.612624,92148,0.612624,72852,0.838583,69319,0.838583,101295,0.187145,101284,0.187145,93584,0.612624,93584,0.612624,72852,0.838583,72852,0.838583,101295,0.187145,101295,0.187145
e,e05200,5,200,340515,2.57504,148402,0.845597,329085,0.143509,340515,2.57504,340515,2.57504,148402,0.845597,145996,0.845597,329085,0.143509,329085,0.143509,340515,2.57504,340515,2.57504,148402,0.845597,148402,0.845597,329085,0.143509,329085,0.143509
e,e60900,60,900,1.88639e+06,22.1872,929226,22.9693,1.92504e+06,7.92249,1.88639e+06,22.1872,1.88186e+06,22.1872,929226,22.9693,918623,22.9693,1.92504e+06,7.92249,1.92325e+06,7.92249,1.88639e+06,22.1872,1.88639e+06,22.1872,929226,22.9693,929226,22.9693,1.92504e+06,7.92249,1.92504e+06,7.92249
e,e40400,40,400,749569,5.73269,444822,13.8876,753423,1.73241,749569,5.73269,748522,5.73269,444822,13.8876,440299,13.8876,753423,1.73241,752682,1.73241,749569,5.73269,749569,5.73269,444822,13.8876,444822,13.8876,753423,1.73241,753423,1.73241
e,e20200,20,200,365348,2.32776,205884,4.62496,337184,0.379015,365348,2.32776,365347,2.32776,205884,4.62496,198988,4.62496,337184,0.379015,336772,0.379015,365348,2.32776,365348,2.32776,205884,4.62496,205884,4.62496,337184,0.379015,337184,0.379015
e,e10400,10,400,799534,7.17884,341857,2.52606,816825,0.475115,799534,7.17884,797592,7.17884,341857,2.52606,334380,2.52606,816825,0.475115,816811,0.475115,799534,7.17884,799534,7.17884,341857,2.52606,341857,2.52606,816825,0.475115,816825,0.475115
